KIT ID, PM1.0,PM2.5,PM10,Temperature,Humidity,CO, AQI PM2.5, AQI PM10, AQI CO , latitude, longitude
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05226,105.8117
1038,NA,NA,NA, 23.23 , 82.85 , 597.887196664974 ,NA,NA, 3.6360681940819353,21.00257,105.84653
1039, 50.55 , 54.33 , 97.69 , 23.23 , 81.0 , 879.6382827270058 , 105.7865641276042 , 73.03652221679688 , 5.3495455329389765,21.00764015,105.80453388
1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01318005,105.86081255
1041, 49.18 , 53.0 , 95.61 , 23.0 , 81.0 , 971.3891743475942 , 116.18723551432294 , 78.89142211914063 , 5.912119207405666,20.99603,105.84455
1043, 62.48 , 35.0 , 97.57 , 23.2 , 86.96 , 827.8311893812722 , 72.89604003906251 , 75.27884399414063 , 5.034988852362218,21.04169108,105.80900309
1044, 74.79 , 79.28 , 140.33 , 23.06 , 81.0 , 1313.5678344539008 , 150.3070515950521 , 96.52600952148438 , 7.993085328046013,21.0822951059501,105.773392865282
1045, 45.44 , 49.44 , 91.0 , 22.0 , 96.0 , 897.7502981701679 , 102.587646484375 , 72.51154296875 , 5.4824468560389,21.02431735,105.82139752
1046, 39.13 , 37.94 , 67.06 , 22.64 , 86.42 , 884.281437935478 , 77.046669921875 , 59.198942871093756 , 5.388509854888453,21.03793057,105.78543088
1047, 20.19 , 45.26 , 66.59 , 22.63 , 86.81 , 843.1721369055211 , 94.58958984375002 , 60.416079101562495 , 5.1381774884930245,21.03281213,105.81257742
1051, 52.82 , 57.06 , 97.49 , 22.18 , 88.5 , 1028.272075923188 , 128.92106933593755 , 83.32967407226562 , 6.275699453083862,20.9313357,105.79145879
1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01489,105.79834
1055,NA,NA,NA, 23.62 , 83.73 ,NA,NA,NA,NA,20.99151816,105.7902017
1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0004726810695,105.764312913811
1080, 94.29 , 93.43 , 158.33 , 22.98 , 81.23 , 946.9230935759294 , 161.5595947265625 , 105.82285156250002 , 5.763601712139351,21.08284,105.779777
1081, 53.33 , 58.0 , 103.17 , 23.21 , 79.88 , 1103.0412927411596 , 112.76843668619792 , 76.31102539062499 , 6.708630072657917,21.0181984,105.7952921
1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.053519,105.736145
1084, 52.71 , 55.67 , 98.8 , 23.74 , 81.0 , 812.1168454801779 , 100.07259928385416 , 69.63466308593749 , 4.930427866806733,21.0323170270326,105.7487245065
1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.031291,105.818691
1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.050582,105.792034
1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.000939,105.931785
1089,NA,NA,NA, 23.69 , 81.0 , 917.5153923331088 ,NA,NA, 5.571249343285144,21.037454,105.784927
1090, 91.56 , 100.33 , 171.56 , 23.0 , 81.0 , 825.3658103146548 , 161.60975167410712 , 107.53399414062501 , 5.023384230707016,21.14768475,105.9158227
1091, 100.68 , 121.94 , 216.06 , 23.23 , 81.0 , 823.5415314711182 , 176.73839111328124 , 129.3732751464844 , 5.0083915256770455,21.1315376994108,105.778015368578
